=====$temp=====
|..64.0..85.0
|..|..64.0..69.0==>75
|..|..70.0..85.0
|..|..|..70.0..72.0==>11
|..|..|..75.0..85.0==>48
%outlook $temp <humid wind !play    >dom
1 {1: 'over', 2: '..69.0', 3: 65.0, 4: 'TRUE', 5: 'yes', 6: 0.98}
2 {1: 'over', 2: '..69.0', 3: 65.0, 4: 'TRUE', 5: 'yes', 6: 0.95}
3 {1: 'rainy', 2: '..69.0', 3: 70.0, 4: 'TRUE', 5: 'no', 6: 0.78}
4 {1: 'rainy', 2: '..69.0', 3: 70.0, 4: 'TRUE', 5: 'no', 6: 0.77}
5 {1: 'rainy', 2: '..69.0', 3: 80.0, 4: 'FALSE', 5: 'yes', 6: 0.57}
6 {1: 'rainy', 2: '..69.0', 3: 80.0, 4: 'FALSE', 5: 'yes', 6: 0.48}
7 {1: 'sunny', 2: '..69.0', 3: 70.0, 4: 'FALSE', 5: 'yes', 6: 0.78}
8 {1: 'sunny', 2: '..69.0', 3: 70.0, 4: 'FALSE', 5: 'yes', 6: 0.7}
9 {1: 'rainy', 2: '70.0..72.0', 3: 96.0, 4: 'FALSE', 5: 'yes', 6: 0}
10 {1: 'rainy', 2: '70.0..72.0', 3: 96.0, 4: 'FALSE', 5: 'yes', 6: 0}
11 {1: 'rainy', 2: '70.0..72.0', 3: 91.0, 4: 'TRUE', 5: 'no', 6: 0.13}
12 {1: 'rainy', 2: '70.0..72.0', 3: 91.0, 4: 'TRUE', 5: 'no', 6: 0.12}
13 {1: 'over', 2: '70.0..72.0', 3: 90.0, 4: 'TRUE', 5: 'yes', 6: 0.28}
14 {1: 'over', 2: '70.0..72.0', 3: 90.0, 4: 'TRUE', 5: 'yes', 6: 0.23}
15 {1: 'sunny', 2: '70.0..72.0', 3: 95.0, 4: 'FALSE', 5: 'no', 6: 0.08}
16 {1: 'sunny', 2: '70.0..72.0', 3: 95.0, 4: 'FALSE', 5: 'no', 6: 0.06}
17 {1: 'sunny', 2: '75.0..', 3: 70.0, 4: 'TRUE', 5: 'yes', 6: 0.72}
18 {1: 'sunny', 2: '75.0..', 3: 70.0, 4: 'TRUE', 5: 'yes', 6: 0.75}
19 {1: 'rainy', 2: '75.0..', 3: 80.0, 4: 'FALSE', 5: 'yes', 6: 0.5}
20 {1: 'rainy', 2: '75.0..', 3: 80.0, 4: 'FALSE', 5: 'yes', 6: 0.55}
21 {1: 'sunny', 2: '75.0..', 3: 90.0, 4: 'TRUE', 5: 'no', 6: 0.26}
22 {1: 'sunny', 2: '75.0..', 3: 90.0, 4: 'TRUE', 5: 'no', 6: 0.24}
23 {1: 'over', 2: '75.0..', 3: 75.0, 4: 'FALSE', 5: 'yes', 6: 0.63}
24 {1: 'over', 2: '75.0..', 3: 75.0, 4: 'FALSE', 5: 'yes', 6: 0.67}
25 {1: 'over', 2: '75.0..', 3: 86.0, 4: 'FALSE', 5: 'yes', 6: 0.33}
26 {1: 'over', 2: '75.0..', 3: 86.0, 4: 'FALSE', 5: 'yes', 6: 0.39}
27 {1: 'sunny', 2: '75.0..', 3: 85.0, 4: 'FALSE', 5: 'no', 6: 0.42}
28 {1: 'sunny', 2: '75.0..', 3: 85.0, 4: 'FALSE', 5: 'no', 6: 0.38}
# pass
